Genus,Gsr,Fba,Adh2,Mdh,Adh1,Pfk,PduE,PduD,Tal,Mpd,Pfl,Pkl,OrdC,Gab,Gls,Cgl,Tak,LdhD
Lactobacillus,6.382978723,100,63.82978723,6.382978723,0,97.87234043,0,0,2.127659574,25.53191489,0,100,70.21276596,0,14.89361702,0,8.510638298,0
Amylolactobacillus,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0
Holzapfeliella,100,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0
Bombilactobacillus,16.66666667,100,16.66666667,0,0,100,16.66666667,16.66666667,16.66666667,33.33333333,0,100,16.66666667,0,0,0,33.33333333,0
Companilactobacillus,62.85714286,97.14285714,80,2.857142857,0,100,14.28571429,14.28571429,5.714285714,20,0,100,68.57142857,2.857142857,0,0,28.57142857,0
Lapidilactobacillus,37.5,100,100,0,0,100,0,0,12.5,0,100,100,50,0,0,0,0,0
Agrilactobacillus,33.33333333,100,100,66.66666667,66.66666667,100,0,0,0,66.66666667,100,100,0,0,0,0,100,33.33333333
Schleiferilactobacillus,100,0,100,0,33.33333333,100,0,0,0,0,100,100,100,0,0,0,33.33333333,0
Lacticaseibacillus,32.14285714,100,78.57142857,7.142857143,0,100,0,0,0,28.57142857,75,100,50,0,0,0,10.71428571,10.71428571
Paralactobacillus,100,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0
Latilactobacillus,16.66666667,100,100,0,50,100,33.33333333,33.33333333,16.66666667,0,100,100,0,0,0,0,0,0
Loigolactobacillus,100,100,100,0,44.44444444,100,44.44444444,44.44444444,0,88.88888889,100,100,22.22222222,11.11111111,0,0,100,0
Dellaglioa,100,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0
Liquorilactobacillus,91.66666667,100,100,0,0,100,0,0,25,91.66666667,91.66666667,100,83.33333333,0,0,0,66.66666667,8.333333333
Ligilactobacillus,25,100,81.25,0,31.25,93.75,6.25,6.25,0,50,62.5,81.25,87.5,12.5,0,0,25,6.25
Pediococcus,100,100,20,0,10,100,10,10,10,20,10,100,0,0,0,0,10,0
Lactiplantibacillus,52.94117647,100,88.23529412,0,0,100,0,0,11.76470588,100,70.58823529,100,0,29.41176471,0,0,58.82352941,0
Fructilactobacillus,100,77.77777778,100,100,100,0,0,0,0,0,0,100,0,0,11.11111111,0,0,0
Acetilactobacillus,100,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0
Nicolia,100,0,0,100,100,0,0,0,0,0,0,100,0,0,0,0,0,0
Apilactobacillus,100,0,27.27272727,100,90.90909091,0,9.090909091,9.090909091,9.090909091,0,0,100,0,0,0,0,9.090909091,9.090909091
Lentilactobacillus,90.47619048,0,100,85.71428571,100,0,38.0952381,38.0952381,0,0,0,100,4.761904762,23.80952381,0,0,14.28571429,76.19047619
Secundilactobacillus,26.66666667,0,100,66.66666667,100,0,53.33333333,53.33333333,93.33333333,0,0,100,0,13.33333333,0,0,86.66666667,73.33333333
Levilactobacillus,58.62068966,0,96.55172414,100,100,0,48.27586207,48.27586207,96.55172414,0,0,100,13.79310345,17.24137931,0,0,96.55172414,82.75862069
Paucilactobacillus,28.57142857,0,100,0,100,0,0,0,85.71428571,0,0,85.71428571,14.28571429,14.28571429,0,100,100,14.28571429
Limosilactobacillus,6.666666667,43.33333333,96.66666667,100,96.66666667,0,30,30,23.33333333,0,0,96.66666667,6.666666667,23.33333333,50,96.66666667,33.33333333,20
Furfurilactobacillus,33.33333333,0,100,66.66666667,100,0,66.66666667,66.66666667,100,0,0,100,100,33.33333333,0,0,100,33.33333333
Periweissella,80,20,100,60,100,0,20,20,0,40,0,100,0,20,0,0,20,0
Weissella,85,95,95,50,95,20,0,0,0,5,5,100,0,0,0,0,5,10
Oenococcus,75,0,75,100,75,0,0,0,0,0,0,75,0,0,0,0,50,50
Convivina,100,100,100,100,100,0,0,0,0,0,0,100,0,0,0,0,0,0
Fructobacillus,91.66666667,0,0,100,8.333333333,0,0,0,0,0,0,100,0,0,0,0,0,0
Leuconostoc,89.47368421,31.57894737,100,84.21052632,100,47.36842105,0,0,0,0,0,94.73684211,0,0,0,0,84.21052632,0